"id_contrato","estado_contrato","fecha_de_firma","fecha_de_inicio_del_contrato","fecha_de_fin_del_contrato","tipo_de_contrato","modalidad_de_contratacion","duraci_n_del_contrato","dias_adicionados","valor_del_contrato","valor_pagado","valor_pendiente_de_pago","es_pyme","es_grupo","g_nero_representante_legal"
"CO1.PCCNTR.7639932","En ejecución","2025-03-13T00:00:00.000","2025-03-19T00:00:00.000","2025-12-31T00:00:00.000","Prestación de servicios","Contratación directa","289 Dia(s)","0","6.6553333E7","2680000.0","6.3873333E7","No","No","Mujer"
"CO1.PCCNTR.8699481","Modificado","2025-12-14T00:00:00.000","2025-12-17T00:00:00.000","2026-10-31T00:00:00.000","Prestación de servicios","Contratación directa","318 Dia(s)","92","5.1576358E7","3.5364491E7","1.6211867E7","No","No","Hombre"
"CO1.PCCNTR.95703","Cerrado","2017-01-23T00:00:00.000","2016-12-30T00:00:00.000","2016-12-30T00:00:00.000","Prestación de servicios","Contratación Directa (con ofertas)","No definido","0","545058.0","0.0","545058.0","No","No","Hombre"
"CO1.PCCNTR.9234454","En ejecución","2026-01-29T00:00:00.000","2026-02-02T00:00:00.000","2026-12-31T00:00:00.000","Prestación de servicios","Contratación directa","11 Mes(es)","0","4.158E7","1.8522E7","2.3058E7","No","No","Hombre"
"CO1.PCCNTR.650372","Cerrado","2018-11-28T00:00:00.000","2018-11-19T00:00:00.000","2019-12-31T00:00:00.000","Prestación de servicios","Contratación directa","No definido","0","7.9074863E7","7.610352E7","2971343.0","No","No","No Definido"
"CO1.PCCNTR.2345119","Cerrado","2021-03-17T00:00:00.000","2021-03-17T00:00:00.000","2021-11-30T00:00:00.000","Prestación de servicios","Contratación directa","264 Dia(s)","0","7.9404493E7","7.7613415E7","1791078.0","No","No","Mujer"
"CO1.PCCNTR.2207051","Cerrado","2021-02-17T00:00:00.000","2021-02-17T00:00:00.000","2021-10-29T00:00:00.000","Prestación de servicios","Contratación directa","333 Dia(s)","0","5.3337452E7","5.2364141E7","973311.0","No","No","No Definido"
"CO1.PCCNTR.6558053","Cerrado","2024-08-02T00:00:00.000","2024-08-15T00:00:00.000","2024-12-13T00:00:00.000","Suministros","Mínima cuantía","133 Dia(s)","0","6.519439322E7","6.5194129E7","264.0","Si","No","Hombre"
"CO1.PCCNTR.6588844","Cerrado","2024-08-02T00:00:00.000","2024-08-09T00:00:00.000","2024-12-31T00:00:00.000","Prestación de servicios","Contratación directa","150 Dia(s)","0","5.3562161E7","5.0369715E7","3192446.0","No","No","No Definido"
"CO1.PCCNTR.8590239","En ejecución","2025-11-18T00:00:00.000","2025-11-27T00:00:00.000","2025-12-31T00:00:00.000","Prestación de servicios","Contratación directa","47 Dia(s)","0","2.1558496E7","1.2216481E7","9342015.0","No","No","Hombre"
"CO1.PCCNTR.4304156","En ejecución","2022-12-27T00:00:00.000","2022-12-29T00:00:00.000","2024-12-26T00:00:00.000","Compraventa","Selección abreviada subasta inversa","2 Año(s)","0","1.145956731E9","1.145956731E9","0.0","No","Si","No Definido"
"CO1.PCCNTR.59504","Borrador","","","","Suministros","Mínima cuantía","No definido","0","152700.0","0.0","152700.0","Si","No","Hombre"
"CO1.PCCNTR.5524926","Cerrado","2023-11-09T00:00:00.000","2023-11-09T00:00:00.000","2024-06-30T00:00:00.000","Prestación de servicios","Contratación directa","236 Dia(s)","0","3.1452846E7","3.0684428E7","768418.0","No","No","No Definido"
"CO1.PCCNTR.6770290","Cerrado","2024-09-17T00:00:00.000","2024-09-24T00:00:00.000","2024-12-31T00:00:00.000","Prestación de servicios","Contratación directa","105 Dia(s)","0","4.0442633E7","3.5990233E7","4452400.0","No","No","Hombre"
"CO1.PCCNTR.328607","Cerrado","2018-02-02T00:00:00.000","2018-01-24T00:00:00.000","2018-12-31T00:00:00.000","Prestación de servicios","Contratación directa","No definido","0","5.1044527E7","4.9716779E7","1327748.0","No","No","No Definido"
"CO1.PCCNTR.7208075","Cerrado","2025-01-09T00:00:00.000","2025-01-10T00:00:00.000","2025-10-09T00:00:00.000","Prestación de servicios","Contratación directa","270 Dia(s)","0","6.43824E7","6.43824E7","0.0","No","No","No Definido"
"CO1.PCCNTR.8571195","Modificado","2025-11-13T00:00:00.000","2025-11-18T00:00:00.000","2026-10-31T00:00:00.000","Prestación de servicios","Contratación directa","347 Dia(s)","91","1.277572E8","7.9676533E7","4.8080667E7","No","No","No Definido"
"CO1.PCCNTR.1600396","Cerrado","2020-06-08T00:00:00.000","2020-06-08T00:00:00.000","2020-12-31T00:00:00.000","Prestación de servicios","Contratación directa","217 Dia(s)","0","3.182726E7","3.1531192E7","296068.0","No","No","Mujer"
"CO1.PCCNTR.798222","Cerrado","2019-02-26T00:00:00.000","2019-01-30T00:00:00.000","2019-12-31T00:00:00.000","Prestación de servicios","Contratación directa","No definido","0","9.9546039E7","9.6910996E7","2635043.0","No","No","Hombre"
"CO1.PCCNTR.7302236","Modificado","2025-01-23T00:00:00.000","2025-01-29T00:00:00.000","2025-12-31T00:00:00.000","Prestación de servicios","Contratación directa","336 Dia(s)","95","1.06295333E8","1.06295333E8","0.0","No","No","Hombre"
"CO1.PCCNTR.4317405","Cerrado","2022-12-27T00:00:00.000","2022-12-27T00:00:00.000","2023-08-31T00:00:00.000","Prestación de servicios","Contratación directa","260 Dia(s)","0","6.5399703E7","6.3425373E7","1974330.0","No","No","No Definido"
"CO1.PCCNTR.3453658","Cerrado","2022-01-28T00:00:00.000","2022-01-28T00:00:00.000","2022-12-31T00:00:00.000","Prestación de servicios","Contratación directa","339 Dia(s)","0","8.7771793E7","8.6481032E7","1290761.0","No","No","No Definido"
"CO1.PCCNTR.4354022","Cerrado","2023-01-11T00:00:00.000","2023-01-11T00:00:00.000","2023-09-30T00:00:00.000","Prestación de servicios","Contratación directa","185 Dia(s)","0","9.608335E7","9.4361426E7","1721924.0","No","No","No Definido"
"CO1.PCCNTR.696752","Cerrado","2019-01-18T00:00:00.000","2018-12-28T00:00:00.000","2019-12-27T00:00:00.000","Compraventa","Mínima cuantía","Dia(s)","0","7.2639351E7","7.2639351E7","0.0","Si","No","Hombre"
"CO1.PCCNTR.8646861","Modificado","2025-12-01T00:00:00.000","2025-12-09T00:00:00.000","2026-10-31T00:00:00.000","Prestación de servicios","Contratación directa","335 Dia(s)","92","7.6266667E7","4.5716667E7","3.055E7","No","No","Mujer"
"CO1.PCCNTR.2427884","Cerrado","2021-04-13T00:00:00.000","2021-04-13T00:00:00.000","2022-11-23T00:00:00.000","Otro","Contratación directa","474 Dia(s)","0","6.81715306E8","6.74687316E8","7027990.0","No","No","No Definido"
"CO1.PCCNTR.1594297","Cerrado","2020-06-08T00:00:00.000","2020-06-08T00:00:00.000","2020-12-31T00:00:00.000","Prestación de servicios","Contratación directa","219 Dia(s)","0","5.5891233E7","5.3886166E7","2005067.0","No","No","No Definido"
"CO1.PCCNTR.7044807","Cerrado","2024-11-22T00:00:00.000","2024-12-04T00:00:00.000","2025-08-31T00:00:00.000","Prestación de servicios","Contratación directa","280 Dia(s)","0","5.88E7","5.607E7","2730000.0","No","No","No Definido"
"CO1.PCCNTR.165605","Cerrado","2017-07-14T00:00:00.000","2017-06-27T00:00:00.000","2017-12-31T00:00:00.000","Prestación de servicios","Contratación Directa (con ofertas)","No definido","0","3.1521653E7","3.0454755E7","1066898.0","No","No","No Definido"
"CO1.PCCNTR.679245","Cerrado","2019-01-22T00:00:00.000","2018-12-24T00:00:00.000","2020-11-30T00:00:00.000","Otro","Contratación Directa (con ofertas)","Dia(s)","0","1.2641638E9","1.078336733E9","1.85827066E8","No","No","Hombre"
"CO1.PCCNTR.5839413","Cerrado","2024-01-29T00:00:00.000","2024-01-31T00:00:00.000","2024-12-31T00:00:00.000","Prestación de servicios","Contratación directa","329 Dia(s)","0","9.6701E7","9.6701E7","0.0","No","No","Hombre"
"CO1.PCCNTR.130313","Cerrado","2017-04-10T00:00:00.000","2017-03-30T00:00:00.000","2018-12-31T00:00:00.000","Prestación de servicios","Contratación Directa (con ofertas)","No definido","0","4.3434598E7","3.649795E7","6936648.0","No","No","No Definido"
"CO1.PCCNTR.226421","Cerrado","2017-11-14T00:00:00.000","2017-11-08T00:00:00.000","2017-12-31T00:00:00.000","Prestación de servicios","Contratación Directa (con ofertas)","No definido","0","7459454.0","6589184.0","870270.0","No","No","No Definido"
"CO1.PCCNTR.1491435","Cerrado","2020-04-16T00:00:00.000","2020-04-03T00:00:00.000","2020-12-31T00:00:00.000","Prestación de servicios","Contratación directa","Dia(s)","0","7.2E7","7.1466667E7","533333.0","No","No","Mujer"
"CO1.PCCNTR.1685485","Cerrado","2020-08-26T00:00:00.000","2020-08-26T00:00:00.000","2020-12-31T00:00:00.000","Prestación de servicios","Contratación directa","175 Dia(s)","0","3.484454E7","3.3481904E7","1362636.0","No","No","Mujer"
"CO1.PCCNTR.657519","Cerrado","2018-11-28T00:00:00.000","2018-11-20T00:00:00.000","2019-08-30T00:00:00.000","Prestación de servicios","Contratación directa","No definido","0","1.04786429E8","1.02635493E8","2150936.0","No","No","No Definido"
"CO1.PCCNTR.70903","Cerrado","2016-10-13T00:00:00.000","2016-10-06T00:00:00.000","2016-12-31T00:00:00.000","Prestación de servicios","Contratación Directa (con ofertas)","No definido","0","2.5790586E7","0.0","2.5790586E7","No","No","No Definido"
"CO1.PCCNTR.4592235","Cerrado","2023-02-10T00:00:00.000","2023-02-10T00:00:00.000","2023-06-05T00:00:00.000","Prestación de servicios","Contratación directa","116 Dia(s)","0","2.0983239E7","2.027792E7","705319.0","No","No","Mujer"
"CO1.PCCNTR.7489892","Cerrado","2025-02-14T00:00:00.000","2025-02-18T00:00:00.000","2025-10-17T00:00:00.000","Prestación de servicios","Contratación directa","8 Mes(es)","0","6.4184E7","6.3649134E7","534866.0","No","No","Mujer"
"CO1.PCCNTR.680024","Cerrado","2018-12-17T00:00:00.000","2018-12-06T00:00:00.000","2019-07-31T00:00:00.000","Prestación de servicios","Contratación directa","No definido","0","7.5366667E7","7.4416667E7","950000.0","No","No","No Definido"
"CO1.PCCNTR.74002","Cerrado","2016-11-04T00:00:00.000","2016-10-24T00:00:00.000","2017-03-31T00:00:00.000","Prestación de servicios","Contratación Directa (con ofertas)","Dia(s)","0","2.3328297E7","3939281.0","1.9389016E7","No","No","No Definido"
"CO1.PCCNTR.4662283","Cerrado","2023-02-22T00:00:00.000","2023-02-22T00:00:00.000","2023-06-20T00:00:00.000","Prestación de servicios","Contratación directa","4 Mes(es)","0","1.9925228E7","1.9593141E7","332087.0","No","No","No Definido"
"CO1.PCCNTR.9195861","En ejecución","2026-01-28T00:00:00.000","2026-01-30T00:00:00.000","2026-12-31T00:00:00.000","Prestación de servicios","Contratación directa","330 Dia(s)","0","1.4820498E8","6.720406E7","8.100092E7","No","No","Mujer"
